"country","year","dname","median","mima5_dhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"United Kingdom",1985,"uk85",15049.0890771111,15049.0890771111,7524.54453855555,"mima5_dhi",0.0613802284984996,18206,56549823.999219,3471041.118622
"United Kingdom",1986,"uk86",15446.7598466621,15446.7598466621,7723.37992333104,"mima5_dhi",0.0654769662203113,18330,56750920.2316747,3715878.08698094
"United Kingdom",1987,"uk87",16428.7614297741,16454.0560673736,8227.02803368678,"mima5_dhi",0.0950672081720669,18735,56799654.000501,5399784.530967
"United Kingdom",1988,"uk88",17543.1823639799,17157.8972626073,8578.94863130365,"mima5_dhi",0.110979433007452,18280,56903792.999933,6315150.683106
"United Kingdom",1989,"uk89",17802.4876193406,17793.2981740438,8896.64908702192,"mima5_dhi",0.120692016544255,18590,57058909.002261,6886554.789298
"United Kingdom",1990,"uk90",18568.2950532798,18116.6897813585,9058.34489067927,"mima5_dhi",0.134879576203605,17437,57219609.000482,7717756.612521
"United Kingdom",1991,"uk91",18623.7644038448,18173.6212110205,9086.81060551026,"mima5_dhi",0.131591526726034,17089,57433922.999685,7557817.613394
"United Kingdom",1992,"uk92",18045.7194663475,18296.5495980606,9148.27479903028,"mima5_dhi",0.139874705885287,18174,57579567.000642,8053924.999217
"United Kingdom",1993,"uk93",17827.8395122899,18270.6792294304,9135.33961471518,"mima5_dhi",0.139339228660785,17291,57698434.999846,8039655.427813
"United Kingdom",1994,"uk94",18417.1295545408,18404.1421909172,9202.07109545858,"mima5_dhi",0.11065518047362,62364,54904063,6075419
"United Kingdom",1995,"uk95",18438.9432101288,18775.969492041,9387.98474602048,"mima5_dhi",0.117835875447822,59199,52354251,6169209
"United Kingdom",1996,"uk96",19291.0792112788,19338.9707154357,9669.48535771785,"mima5_dhi",0.118487424067841,57519,52712514,6245770
"United Kingdom",1997,"uk97",19904.8559719665,19880.4062259875,9940.20311299377,"mima5_dhi",0.119704626269341,53677,53671259,6424698
"United Kingdom",1998,"uk98",20642.8456292636,20623.0627098555,10311.5313549277,"mima5_dhi",0.124131905454756,51718,53588777,6652077
"United Kingdom",1999,"uk99",21124.3071072999,21388.0418723216,10694.0209361608,"mima5_dhi",0.13053904416919,56580,53994221,7048354
"United Kingdom",2000,"uk00",22152.2256294686,22095.6144031752,11047.8072015876,"mima5_dhi",0.119324001450848,53446,54100767,6455520
"United Kingdom",2001,"uk01",23115.9750236097,22735.1508589245,11367.5754294623,"mima5_dhi",0.10800270317409,57132,54393833,5874681
"United Kingdom",2002,"uk02",23442.7186262341,23398.9352113277,11699.4676056639,"mima5_dhi",0.111961206996355,67400,58304534,6527846
"United Kingdom",2003,"uk03",23840.5279080105,23920.823615779,11960.4118078895,"mima5_dhi",0.107513608087756,67123,58570316,6297106
"United Kingdom",2004,"uk04",24443.2288693158,24324.4127012671,12162.2063506336,"mima5_dhi",0.0936891983559673,65232,58877417,5516178
"United Kingdom",2005,"uk05",24761.6676517249,24769.3615063186,12384.6807531593,"mima5_dhi",0.10014242495746,64733,59327383,5941188
