"country","year","dname","median","mima5_mhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"United Kingdom",2021,"uk21",20711.287791249,20711.287791249,10355.6438956245,"mima5_mhi",0.29623701049701,34590,66332792,19650228
"United States",1985,"us85",32226.6599770601,32226.6599770601,16113.3299885301,"mima5_mhi",0.262724520270563,157605,236748983.14,62199763.02
"United States",1986,"us86",33314.2316618317,33314.2316618317,16657.1158309159,"mima5_mhi",0.260807021996438,155407,238788969.88,62277840.12
"United States",1987,"us87",34162.3916978422,33787.209849361,16893.6049246805,"mima5_mhi",0.261499554122369,155980,241186892.16,63070264.76
"United States",1988,"us88",34301.0387422654,33999.925443081,16999.9627215405,"mima5_mhi",0.261614821756567,144687,243684940.83,63751592.36
"United States",1989,"us89",34931.7271678057,33851.3006007088,16925.6503003544,"mima5_mhi",0.257502137237498,158079,246191485.71,63394833.74
"United States",1990,"us90",33290.2379456599,33473.4163967102,16736.7081983551,"mima5_mhi",0.258988639308296,158477,248885794.42,64458593.24
"United States",1991,"us91",32571.1074499706,32896.8671957045,16448.4335978523,"mima5_mhi",0.271928838105942,155783,251415659.98,68367168.3
"United States",1992,"us92",32272.9706778495,32371.0143706258,16185.5071853129,"mima5_mhi",0.27489380031888,155197,254241069.42,69889293.77
"United States",1993,"us93",31418.2927372369,32246.0216371211,16123.0108185605,"mima5_mhi",0.282143862181077,150943,259752595.16,73287600.41
"United States",1994,"us94",32302.4630424118,32362.0476285406,16181.0238142703,"mima5_mhi",0.274779518225178,149242,261300572.56,71800045.44
"United States",1995,"us95",32665.2742781364,32780.3734707831,16390.1867353916,"mima5_mhi",0.268158570241795,130081,263387262.12,70629551.63
"United States",1996,"us96",33151.2374070682,33682.9516258631,16841.4758129316,"mima5_mhi",0.271143251288858,131397,265695604.51,72041570.06
"United States",1997,"us97",34364.5998890623,34545.1931842717,17272.5965921358,"mima5_mhi",0.269060526589618,131216,268119792.02,72140452.43
"United States",1998,"us98",35931.1835126371,35437.7480767617,17718.8740383809,"mima5_mhi",0.263474811799095,131874,270699759.81,71322568.27
"United States",1999,"us99",36613.6708344543,36112.8030816513,18056.4015408257,"mima5_mhi",0.260652910193067,133260,273056732.6,71173032
"United States",2000,"us00",37128.0487405867,36463.6713526228,18231.8356763114,"mima5_mhi",0.255017281512995,217670,278557010.68,71036851.61
"United States",2001,"us01",36526.5124315164,36465.8099945659,18232.9049972829,"mima5_mhi",0.262402414515566,216658,281118677.99,73766219.87
"United States",2002,"us02",36118.9412439196,36280.5912693057,18140.2956346529,"mima5_mhi",0.267945967904428,215856,284951904.92,76351713.97
"United States",2003,"us03",35941.8767223526,36063.4425432078,18031.7212716039,"mima5_mhi",0.272194838523721,212723,287379141.92,78223119.13
"United States",2004,"us04",35687.5772081533,36044.9126863949,18022.4563431974,"mima5_mhi",0.27113810475139,210128,290242962.87,78695926.87
"United States",2005,"us05",36042.3051100973,36177.3921844385,18088.6960922192,"mima5_mhi",0.269407019260369,208023,292907883.16,78911439.72
"United States",2006,"us06",36433.8631474517,35960.6067264465,17980.3033632233,"mima5_mhi",0.262618323606435,206043,295695740.09,77655119.56
"United States",2007,"us07",36781.3387341376,35467.6748098495,17733.8374049247,"mima5_mhi",0.263138921906712,205795,297948890.35,78401949.79
